iteration,HP_set,best_val_RMSE,test_RMSE
0,0,2.7806218,2.4108818
0,1,2.7652204,2.419615
0,2,2.9878397,2.698093
0,3,2.970834,2.4337666
0,4,2.5232863,2.1729584
0,5,2.6091437,2.076783
0,6,2.61635,2.084907
0,7,2.5599585,2.253488
1,0,2.408476,3.5025768
1,1,2.3854864,3.5721657
1,2,2.4890308,2.450385
1,3,2.5391462,2.8806248
1,4,2.276729,3.2940223
1,5,2.3215406,3.3984504
1,6,2.3299592,2.6381426
1,7,2.2955344,2.8623395
2,0,3.0068645,3.4900122
2,1,2.9881387,3.6750102
2,2,3.0026271,4.025331
2,3,2.9954324,3.8756247
2,4,3.0190508,3.780819
2,5,3.0123014,3.6232917
2,6,3.1117744,3.5061278
2,7,3.09438,3.5377033
3,0,3.2729497,3.6329765
3,1,3.251879,3.5800657
3,2,3.2590623,3.6354156
3,3,3.270191,3.797224
3,4,3.3094363,3.4493465
3,5,3.333523,3.5619826
3,6,3.3373158,3.5558867
3,7,3.3160498,3.619315
4,0,3.497862,3.4586244
4,1,3.4436707,3.5145917
4,2,3.355666,3.725431
4,3,3.4431279,3.8213215
4,4,3.4440882,3.1567285
4,5,3.3989317,3.203325
4,6,3.313162,3.0099912
4,7,3.2745707,3.2606997
5,0,3.2836027,3.1990457
5,1,3.3680751,3.2344224
5,2,3.215148,3.167601
5,3,3.2554913,3.1309648
5,4,3.3098211,3.2089567
5,5,3.439223,2.3551245
5,6,3.200698,3.1122582
5,7,3.209627,3.1376657
6,0,2.5337536,4.049101
6,1,2.5095637,4.4802966
6,2,2.4767656,3.9574516
6,3,2.4865148,4.1846275
6,4,2.5044243,4.2989163
6,5,2.486086,4.4827228
6,6,2.274302,4.2523775
6,7,2.2411468,4.421872
7,0,3.3038235,3.2178996
7,1,3.290518,3.2804446
7,2,3.2797112,3.4550793
7,3,3.2926717,3.4891658
7,4,3.3770945,3.0596344
7,5,3.3583853,3.1151946
7,6,3.2673411,3.4597282
7,7,3.313671,3.7124014
8,0,2.3640804,3.407494
8,1,2.269838,3.355268
8,2,2.3012478,3.4324932
8,3,2.4558117,3.3512483
8,4,2.346402,3.3791862
8,5,2.2533042,3.3514855
8,6,1.9974697,3.6319556
8,7,2.1747327,3.3586354
9,0,2.3233864,2.7955587
9,1,2.3558104,2.9548676
9,2,2.4265947,2.925824
9,3,2.3761806,2.885824
9,4,2.5654187,2.79907
9,5,2.5602894,2.7138417
9,6,2.2492359,2.5277102
9,7,2.4412231,2.6079848
