iteration,HP_set,best_val_RMSE,test_RMSE
0,0,2.780122,3.0474539
0,1,2.7253194,2.6708071
0,2,3.0400825,2.6645982
0,3,2.8101702,2.6529267
0,4,2.8021708,2.605318
0,5,2.934587,2.7359533
0,6,3.1239371,2.7515419
0,7,2.8911521,2.7463417
1,0,2.7653477,2.9350436
1,1,2.7146068,2.8529582
1,2,2.7284603,3.3043566
1,3,2.7491362,2.7709372
1,4,3.0693493,2.8591247
1,5,2.8194847,2.5592175
1,6,2.903459,2.53186
1,7,3.0353706,3.1683164
2,0,2.7017868,2.753193
2,1,2.6590192,3.0331945
2,2,2.6346197,3.8842974
2,3,2.7122908,3.192294
2,4,2.9627948,2.726679
2,5,2.8810256,2.603169
2,6,2.8756616,3.6743777
2,7,2.9284456,3.470476
3,0,2.7091851,2.8345037
3,1,2.7114573,2.929327
3,2,2.7766457,2.6933136
3,3,2.7580006,4.11639
3,4,2.879931,2.5809126
3,5,2.8167121,2.8863947
3,6,3.0366824,2.7724397
3,7,3.1125412,2.688086
4,0,2.7329152,2.9513993
4,1,2.659008,2.850074
4,2,2.8153431,2.9221184
4,3,3.1102726,2.6888087
4,4,3.1177604,2.6829045
4,5,2.9078448,2.6287985
4,6,2.9052289,3.778999
4,7,3.0319352,2.7701862
5,0,2.8141751,2.9516435
5,1,2.8129435,2.5833275
5,2,2.7583542,3.131171
5,3,2.975249,3.3980882
5,4,2.9065802,2.6046247
5,5,2.9468255,2.6604874
5,6,3.0100136,3.423729
5,7,3.0501268,2.774214
6,0,2.8520975,2.8754554
6,1,2.8372073,3.0358012
6,2,3.200996,2.6559
6,3,3.06081,2.8175933
6,4,2.8572698,2.550035
6,5,3.1709752,2.6944823
6,6,3.1658542,2.6661603
6,7,3.102352,2.9869452
7,0,2.7586281,3.2675781
7,1,2.767498,2.7622144
7,2,3.0638883,2.7512057
7,3,3.1063244,2.6462371
7,4,2.7813706,2.5455062
7,5,2.8473852,3.0354006
7,6,2.943799,3.7939842
7,7,2.844799,3.6621084
8,0,2.718781,2.9588444
8,1,2.7412226,2.8822253
8,2,2.7127285,3.8033524
8,3,2.7584605,3.0985181
8,4,2.874038,2.5452814
8,5,2.8506405,2.574396
8,6,3.1106806,5.334269
8,7,2.9925,4.71011
9,0,2.7587361,2.967398
9,1,2.7164357,2.8632858
9,2,2.7258384,2.8641315
9,3,2.7694254,2.7926073
9,4,2.8287613,2.5551713
9,5,2.8148143,2.4993734
9,6,3.077728,2.7000525
9,7,3.0078273,5.070072
