iteration,HP_set,best_val_RMSE,test_RMSE
0,0,1.4645988,1.5195066
0,1,1.4626796,1.4868972
0,2,1.4485165,1.4249945
0,3,1.4588448,1.4152713
0,4,1.4624187,1.4316181
0,5,1.4618751,1.420287
0,6,1.4617124,1.4945167
0,7,1.4734358,1.4264989
1,0,1.46468,1.4498407
1,1,1.4680858,1.4017507
1,2,1.4660689,1.4416757
1,3,1.4654946,1.4378369
1,4,1.4634753,1.4840858
1,5,1.466556,1.4105629
1,6,1.4780213,1.4176545
1,7,1.4537958,1.4079032
2,0,1.4638355,1.4902726
2,1,1.4625393,1.411665
2,2,1.4593276,1.4377184
2,3,1.4653431,1.521273
2,4,1.4613569,1.388736
2,5,1.4643865,1.4087839
2,6,1.463015,1.455974
2,7,1.4636823,1.4258268
3,0,1.4489529,1.3942413
3,1,1.4607544,1.3980252
3,2,1.4606534,1.4423418
3,3,1.4605206,1.400668
3,4,1.4650856,1.518762
3,5,1.4621757,1.4296466
3,6,1.4535214,1.4402624
3,7,1.4623111,1.4365762
4,0,1.4655874,1.4133024
4,1,1.4638424,1.5110626
4,2,1.4677852,1.4312239
4,3,1.4604452,1.4732115
4,4,1.4652692,1.4058217
4,5,1.4612219,1.3966578
4,6,1.4605367,1.5172158
4,7,1.4578085,1.4268651
5,0,1.4636896,1.5077188
5,1,1.4675057,1.3987842
5,2,1.4635363,1.4287676
5,3,1.4627748,1.4010868
5,4,1.460145,1.392769
5,5,1.4598339,1.3997974
5,6,1.474201,1.5514657
5,7,1.4670186,1.4606762
6,0,1.4664825,1.4833783
6,1,1.467108,1.4655019
6,2,1.4682497,1.394962
6,3,1.4554614,1.40296
6,4,1.4632759,1.3964783
6,5,1.4625285,1.4351623
6,6,1.4629127,1.45044
6,7,1.469979,1.4594163
7,0,1.4646783,1.5150331
7,1,1.4651992,1.410637
7,2,1.4672571,1.4299437
7,3,1.4620732,1.394798
7,4,1.4655955,1.4835778
7,5,1.4596374,1.401841
7,6,1.4633077,1.4712051
7,7,1.4631737,1.5097474
8,0,1.4583036,1.390697
8,1,1.4664007,1.3855258
8,2,1.45775,1.4176341
8,3,1.4601139,1.4420786
8,4,1.492409,1.4595845
8,5,1.4720248,1.397473
8,6,1.4654573,1.4613934
8,7,1.4847614,1.4913414
9,0,1.4540919,1.3882945
9,1,1.4570545,1.4090716
9,2,1.4636165,1.396004
9,3,1.46174,1.4438488
9,4,1.4678482,1.4114509
9,5,1.4622387,1.395949
9,6,1.468501,1.399609
9,7,1.4655318,1.4052198
